"Census Tract","FIPS Code","Formatted FIPS","Life expectancy at birth, as of 2010-2015."
"37007920100, NC","37007920100","=""37007920100""","75.5"
"37007920200, NC","37007920200","=""37007920200""","82.1"
"37007920300, NC","37007920300","=""37007920300""","77.1"
"37007920400, NC","37007920400","=""37007920400""","72.2"
"37007920500, NC","37007920500","=""37007920500""","74.8"
"37007920600, NC","37007920600","=""37007920600""","72.6"
"37025040500, NC","37025040500","=""37025040500""","76.7"
"37025040600, NC","37025040600","=""37025040600""","77.6"
"37025040701, NC","37025040701","=""37025040701""","70.8"
"37025040702, NC","37025040702","=""37025040702""","79.1"
"37025040703, NC","37025040703","=""37025040703""","73.9"
"37025040800, NC","37025040800","=""37025040800""","72.8"
"37025040900, NC","37025040900","=""37025040900""","75.5"
"37025041000, NC","37025041000","=""37025041000""","72.6"
"37025041100, NC","37025041100","=""37025041100""","78.2"
"37025041200, NC","37025041200","=""37025041200""","76.4"
"37025041301, NC","37025041301","=""37025041301""","79.7"
"37025041302, NC","37025041302","=""37025041302""","80.5"
"37025041303, NC","37025041303","=""37025041303""","80.0"
"37025041501, NC","37025041501","=""37025041501""","83.0"
"37025041502, NC","37025041502","=""37025041502""","77.7"
"37025041503, NC","37025041503","=""37025041503""","77.8"
"37025041601, NC","37025041601","=""37025041601""","77.4"
"37025041602, NC","37025041602","=""37025041602""","76.0"
"37025041701, NC","37025041701","=""37025041701""","78.4"
"37025041702, NC","37025041702","=""37025041702""","86.2"
"37025041901, NC","37025041901","=""37025041901""","74.5"
"37025041902, NC","37025041902","=""37025041902""","71.6"
"37025042000, NC","37025042000","=""37025042000""","76.7"
"37025042101, NC","37025042101","=""37025042101""","73.1"
"37025042102, NC","37025042102","=""37025042102""","74.3"
"37025042200, NC","37025042200","=""37025042200""","82.3"
"37025042300, NC","37025042300","=""37025042300""","76.1"
"37025042401, NC","37025042401","=""37025042401""","76.3"
"37025042402, NC","37025042402","=""37025042402""","75.3"
"37025042501, NC","37025042501","=""37025042501""","81.4"
"37025042502, NC","37025042502","=""37025042502""","74.8"
"37025042503, NC","37025042503","=""37025042503""","78.4"
"37025042504, NC","37025042504","=""37025042504""","81.3"
"37025042601, NC","37025042601","=""37025042601""","79.4"
"37025042602, NC","37025042602","=""37025042602""","77.8"
"37025042603, NC","37025042603","=""37025042603""","78.0"
"37025042604, NC","37025042604","=""37025042604""","78.6"
"37035010101, NC","37035010101","=""37035010101""","N/A"
"37035010102, NC","37035010102","=""37035010102""","79.5"
