"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Estimated percent of students enrolled in Kindergarten through 1"
"27013","27013","=""27013""","85.14"
"27054","27054","=""27054""","63.32"
"28001","28001","=""28001""","90.17"
"28006","28006","=""28006""","100.00"
"28007","28007","=""28007""","100.00"
"28009","28009","=""28009""","94.98"
"28012","28012","=""28012""","85.86"
"28016","28016","=""28016""","87.31"
"28017","28017","=""28017""","N/A"
"28020","28020","=""28020""","70.36"
"28021","28021","=""28021""","94.13"
"28023","28023","=""28023""","90.15"
"28025","28025","=""28025""","91.05"
"28027","28027","=""28027""","93.77"
"28031","28031","=""28031""","83.79"
"28032","28032","=""28032""","87.48"
"28033","28033","=""28033""","81.46"
"28034","28034","=""28034""","90.30"
"28036","28036","=""28036""","84.91"
"28037","28037","=""28037""","88.16"
"28039","28039","=""28039""","100.00"
"28041","28041","=""28041""","N/A"
"28042","28042","=""28042""","N/A"
"28052","28052","=""28052""","92.19"
"28054","28054","=""28054""","90.66"
"28056","28056","=""28056""","83.75"
"28071","28071","=""28071""","87.11"
"28072","28072","=""28072""","93.83"
"28073","28073","=""28073""","99.39"
"28075","28075","=""28075""","95.84"
"28077","28077","=""28077""","94.39"
"28078","28078","=""28078""","84.62"
"28079","28079","=""28079""","89.22"
"28080","28080","=""28080""","91.37"
"28081","28081","=""28081""","93.22"
"28083","28083","=""28083""","95.29"
"28086","28086","=""28086""","95.89"
"28088","28088","=""28088""","87.98"
"28089","28089","=""28089""","100.00"
"28090","28090","=""28090""","96.97"
"28091","28091","=""28091""","96.44"
"28092","28092","=""28092""","92.13"
"28097","28097","=""28097""","77.70"
"28098","28098","=""28098""","81.54"
"28101","28101","=""28101""","67.39"
"28102","28102","=""28102""","65.00"
"28103","28103","=""28103""","90.78"
"28104","28104","=""28104""","79.07"
"28105","28105","=""28105""","82.41"
"28107","28107","=""28107""","80.85"
"28108","28108","=""28108""","100.00"
"28109","28109","=""28109""","N/A"
"28110","28110","=""28110""","91.27"
"28112","28112","=""28112""","88.59"
"28114","28114","=""28114""","96.32"
"28115","28115","=""28115""","92.90"
"28117","28117","=""28117""","89.25"
"28119","28119","=""28119""","98.11"
"28120","28120","=""28120""","88.89"
"28124","28124","=""28124""","96.42"
"28125","28125","=""28125""","96.80"
"28127","28127","=""28127""","82.77"
"28128","28128","=""28128""","93.15"
"28129","28129","=""28129""","89.84"
"28133","28133","=""28133""","89.72"
"28134","28134","=""28134""","94.07"
"28135","28135","=""28135""","88.26"
"28136","28136","=""28136""","N/A"
"28137","28137","=""28137""","81.09"
"28138","28138","=""28138""","82.27"
"28144","28144","=""28144""","89.36"
"28146","28146","=""28146""","89.62"
"28147","28147","=""28147""","91.04"
"28150","28150","=""28150""","97.58"
"28152","28152","=""28152""","92.77"
"28159","28159","=""28159""","98.28"
"28163","28163","=""28163""","72.77"
"28164","28164","=""28164""","89.48"
"28166","28166","=""28166""","87.82"
"28168","28168","=""28168""","97.74"
"28169","28169","=""28169""","0.00"
"28170","28170","=""28170""","89.33"
"28173","28173","=""28173""","89.65"
"28174","28174","=""28174""","86.16"
"28202","28202","=""28202""","55.57"
"28203","28203","=""28203""","78.44"
"28204","28204","=""28204""","92.88"
"28205","28205","=""28205""","95.84"
"28206","28206","=""28206""","97.14"
"28207","28207","=""28207""","50.07"
"28208","28208","=""28208""","92.76"
"28209","28209","=""28209""","80.87"
"28210","28210","=""28210""","77.13"
"28211","28211","=""28211""","70.85"
"28212","28212","=""28212""","94.82"
"28213","28213","=""28213""","93.36"
"28214","28214","=""28214""","93.02"
"28215","28215","=""28215""","95.49"
"28216","28216","=""28216""","94.56"
"28217","28217","=""28217""","95.43"
"28223","28223","=""28223""","N/A"
"28226","28226","=""28226""","68.90"
"28227","28227","=""28227""","85.66"
"28244","28244","=""28244""","N/A"
"28262","28262","=""28262""","91.53"
"28269","28269","=""28269""","95.08"
"28270","28270","=""28270""","80.96"
"28273","28273","=""28273""","94.52"
"28274","28274","=""28274""","N/A"
"28277","28277","=""28277""","85.60"
"28278","28278","=""28278""","91.39"
"28280","28280","=""28280""","N/A"
"28282","28282","=""28282""","N/A"
"28601","28601","=""28601""","90.75"
"28602","28602","=""28602""","92.82"
"28609","28609","=""28609""","84.15"
"28610","28610","=""28610""","90.54"
"28613","28613","=""28613""","93.28"
"28625","28625","=""28625""","89.85"
"28634","28634","=""28634""","82.23"
"28650","28650","=""28650""","71.90"
"28658","28658","=""28658""","92.63"
"28660","28660","=""28660""","75.53"
"28673","28673","=""28673""","93.94"
"28677","28677","=""28677""","92.77"
"28678","28678","=""28678""","84.36"
"28682","28682","=""28682""","70.51"
"28689","28689","=""28689""","76.24"
